[2019-12-06 16:28:50,126]-INFO: test_01__ page_view埋点正常 line47
[2019-12-06 16:30:44,783]-INFO: test_01__ page_view埋点正常 line46
[2019-12-06 16:33:00,452]-INFO: test_01__ home_open埋点正常 line41
[2019-12-06 16:34:26,055]-INFO: test_01__ home_open埋点正常 line41
[2019-12-06 16:34:26,155]-INFO: test_01__ device_opened埋点正常 line59
[2019-12-06 16:34:26,182]-INFO: test_01__ is_open_push埋点正常 line89
[2019-12-06 16:34:26,198]-ERROR: test_01__ urban_geographical_location埋点异常 line102
[2019-12-06 16:36:28,458]-ERROR: test_01__ home_open埋点异常 line39
[2019-12-06 16:36:28,572]-INFO: test_01__ device_opened埋点正常 line59
[2019-12-06 16:36:28,607]-ERROR: test_01__ is_open_push埋点异常 line87
[2019-12-06 16:36:28,621]-ERROR: test_01__ urban_geographical_location埋点异常 line102
[2019-12-06 18:23:43,419]-INFO: test_01__ device_opened埋点正常 line41
[2019-12-06 18:23:43,534]-INFO: test_01__ on_app_session_over埋点正常 line56
[2019-12-06 18:40:32,902]-INFO: test_01__ on_click_navbar_search埋点正常 line41
[2019-12-06 18:52:57,172]-INFO: test_01__ on_click_navbar_search埋点正常 line41
[2019-12-06 19:26:00,249]-INFO: test_01__ welfare_home_click_section埋点正常 line43
[2019-12-06 19:26:00,266]-INFO: test_01__ 美购品类聚合page_view埋点正常 line60
[2019-12-06 20:13:05,652]-INFO: test_01__ 搜索search_result_open埋点正常 line50
[2019-12-06 20:13:05,675]-INFO: test_01__ 搜索do_search埋点正常 line60
[2019-12-06 20:41:21,443]-ERROR: testbuild__ 搜索search_result_open埋点异常 line47
[2019-12-06 20:41:21,478]-INFO: testbuild__ 搜索do_search埋点正常 line59
[2019-12-06 20:44:43,823]-ERROR: test_01__ 搜索search_result_open埋点异常 line46
[2019-12-06 20:44:43,847]-INFO: test_01__ 搜索do_search埋点正常 line58
