[2019-11-21 18:49:32,798]-ERROR: test_01__ home_open埋点异常 line42
[2019-11-21 18:49:33,012]-ERROR: test_01__ device_opened埋点异常 line58
[2019-11-21 18:49:33,110]-ERROR: test_01__ is_open_push埋点异常 line78
[2019-11-21 18:49:33,153]-ERROR: test_01__ urban_geographical_location埋点异常 line88
[2019-11-21 18:50:14,717]-ERROR: test_01__ page_view埋点异常 line112
[2019-11-21 18:51:57,526]-ERROR: test_01__ on_click_navbar_search埋点异常 line39
[2019-11-21 18:53:09,381]-ERROR: test_01__ 美购首页page_view埋点异常 line48
[2019-11-21 18:53:34,821]-ERROR: test_01__ welfare_home_click_section埋点异常 line69
[2019-11-21 18:53:34,836]-ERROR: test_01__ 美购品类聚合page_view埋点异常 line86
[2019-11-21 18:55:12,916]-ERROR: test_01__ 搜索search_result_open埋点异常 line48
[2019-11-21 18:55:12,942]-ERROR: test_01__ 搜索do_search埋点异常 line58
[2019-11-21 18:56:46,293]-ERROR: test_01__ 搜索search_result_open埋点异常 line46
[2019-11-21 18:56:46,315]-ERROR: test_01__ 搜索do_search埋点异常 line56
[2019-11-21 18:58:10,997]-ERROR: test_01__ 搜索search_result_open埋点异常 line45
[2019-11-21 18:58:11,023]-ERROR: test_01__ 搜索do_search埋点异常 line55
[2019-11-21 18:59:34,947]-ERROR: test_01__ 搜索search_result_open埋点异常 line45
[2019-11-21 18:59:34,970]-ERROR: test_01__ 搜索do_search埋点异常 line55
[2019-11-21 19:00:46,721]-ERROR: test_01__ 搜索search_result_open埋点异常 line47
[2019-11-21 19:00:46,748]-ERROR: test_01__ 搜索do_search埋点异常 line57
[2019-11-21 19:03:30,997]-INFO: test_01__ 美购首页page_view埋点正常 line50
[2019-11-21 19:04:02,804]-ERROR: test_01__ welfare_home_click_section埋点异常 line69
[2019-11-21 19:04:02,826]-ERROR: test_01__ 美购品类聚合page_view埋点异常 line86
[2019-11-21 19:13:11,533]-INFO: test_01__ 美购首页page_view埋点正常 line50
[2019-11-21 19:13:46,654]-ERROR: test_01__ welfare_home_click_section埋点异常 line69
[2019-11-21 19:13:46,670]-ERROR: test_01__ 美购品类聚合page_view埋点异常 line86
[2019-11-21 19:16:34,836]-INFO: test_01__ 美购首页page_view埋点正常 line51
[2019-11-21 19:17:03,534]-ERROR: test_01__ welfare_home_click_section埋点异常 line70
[2019-11-21 19:17:03,558]-ERROR: test_01__ 美购品类聚合page_view埋点异常 line87
[2019-11-21 19:19:50,412]-ERROR: test_01__ 美购首页page_view埋点异常 line49
[2019-11-21 19:20:43,806]-ERROR: test_01__ welfare_home_click_section埋点异常 line71
[2019-11-21 19:20:43,827]-ERROR: test_01__ 美购品类聚合page_view埋点异常 line88
[2019-11-21 19:24:21,198]-ERROR: test_01__ 搜索search_result_open埋点异常 line46
[2019-11-21 19:24:21,388]-INFO: test_01__ 搜索do_search埋点正常 line58
[2019-11-21 19:27:28,423]-ERROR: test_01__ 搜索search_result_open埋点异常 line46
[2019-11-21 19:27:28,816]-ERROR: test_01__ 搜索do_search埋点异常 line56
[2019-11-21 19:30:14,063]-ERROR: testbuild__ 搜索search_result_open埋点异常 line46
[2019-11-21 19:30:14,085]-ERROR: testbuild__ 搜索do_search埋点异常 line56
[2019-11-21 19:31:48,172]-ERROR: testbuild__ 搜索search_result_open埋点异常 line46
[2019-11-21 19:31:48,193]-INFO: testbuild__ 搜索do_search埋点正常 line58
[2019-11-21 19:34:09,222]-ERROR: testbuild__ 搜索search_result_open埋点异常 line46
[2019-11-21 19:34:09,247]-INFO: testbuild__ 搜索do_search埋点正常 line58
[2019-11-21 19:36:26,825]-ERROR: testbuild__ 搜索search_result_open埋点异常 line46
[2019-11-21 19:36:26,853]-INFO: testbuild__ 搜索do_search埋点正常 line58
[2019-11-21 19:38:34,022]-ERROR: testbuild__ 搜索search_result_open埋点异常 line46
[2019-11-21 19:38:34,047]-INFO: testbuild__ 搜索do_search埋点正常 line58
[2019-11-21 19:40:20,158]-INFO: test_01__ 美购首页page_view埋点正常 line50
[2019-11-21 19:40:56,131]-ERROR: test_01__ welfare_home_click_section埋点异常 line69
[2019-11-21 19:40:56,146]-ERROR: test_01__ 美购品类聚合page_view埋点异常 line86
[2019-11-21 19:44:27,954]-INFO: test_01__ 美购首页page_view埋点正常 line50
[2019-11-21 19:46:43,377]-INFO: test_01__ welfare_home_click_section埋点正常 line43
[2019-11-21 19:46:43,419]-INFO: test_01__ 美购品类聚合page_view埋点正常 line60
[2019-11-21 19:50:16,669]-ERROR: test_01__ 搜索search_result_open埋点异常 line48
[2019-11-21 19:50:16,694]-ERROR: test_01__ 搜索do_search埋点异常 line58
[2019-11-21 19:56:27,245]-INFO: test_01__ 搜索search_result_open埋点正常 line50
[2019-11-21 19:56:27,268]-INFO: test_01__ 搜索do_search埋点正常 line60
[2019-11-21 19:59:20,169]-INFO: test_01__ home_open埋点正常 line41
[2019-11-21 19:59:20,582]-INFO: test_01__ device_opened埋点正常 line57
[2019-11-21 19:59:20,671]-INFO: test_01__ is_open_push埋点正常 line77
[2019-11-21 19:59:20,769]-INFO: test_01__ urban_geographical_location埋点正常 line87
[2019-11-21 20:00:45,677]-ERROR: test_01__ page_view埋点异常 line47
[2019-11-21 20:04:13,071]-ERROR: test_01__ page_view埋点异常 line47
[2019-11-21 20:05:56,161]-INFO: test_01__ page_view埋点正常 line50
