[2019-12-02 08:09:00,111]-INFO: test_01__ page_view埋点正常 line49
[2019-12-02 08:10:00,386]-ERROR: test_01__ on_app_session_over埋点异常 line43
[2019-12-02 08:11:07,405]-ERROR: test_01__ on_app_session_over埋点异常 line43
[2019-12-02 08:12:17,491]-INFO: test_01__ home_open埋点正常 line41
[2019-12-02 08:12:17,828]-INFO: test_01__ device_opened埋点正常 line59
[2019-12-02 08:12:17,831]-ERROR: test_01__ app_serial_id不存在！ line78
[2019-12-02 08:12:18,020]-INFO: test_01__ is_open_push埋点正常 line91
[2019-12-02 08:12:18,129]-INFO: test_01__ urban_geographical_location埋点正常 line106
[2019-12-02 08:14:05,433]-INFO: test_01__ home_open埋点正常 line41
[2019-12-02 08:14:05,748]-INFO: test_01__ device_opened埋点正常 line59
[2019-12-02 08:14:05,750]-ERROR: test_01__ app_serial_id不存在！ line78
[2019-12-02 08:14:05,919]-INFO: test_01__ is_open_push埋点正常 line91
[2019-12-02 08:14:06,047]-INFO: test_01__ urban_geographical_location埋点正常 line106
[2019-12-02 08:18:19,685]-INFO: test_01__ device_opened埋点正常 line41
[2019-12-02 08:18:20,099]-INFO: test_01__ on_app_session_over埋点正常 line56
[2019-12-02 08:22:17,306]-INFO: test_01__ on_click_navbar_search埋点正常 line41
[2019-12-02 08:24:33,493]-INFO: test_01__ 美购首页page_view埋点正常 line50
[2019-12-02 08:26:59,608]-INFO: test_01__ welfare_home_click_section埋点正常 line43
[2019-12-02 08:26:59,631]-INFO: test_01__ 美购品类聚合page_view埋点正常 line60
[2019-12-02 08:29:13,410]-INFO: test_01__ 搜索search_result_open埋点正常 line50
[2019-12-02 08:29:13,498]-INFO: test_01__ 搜索do_search埋点正常 line60
[2019-12-02 08:30:53,891]-INFO: testbuild__ 搜索search_result_open埋点正常 line48
[2019-12-02 08:30:53,912]-ERROR: testbuild__ 搜索do_search埋点异常 line56
[2019-12-02 08:32:32,953]-ERROR: testbuild__ 搜索search_result_open埋点异常 line46
[2019-12-02 08:32:32,986]-INFO: testbuild__ 搜索do_search埋点正常 line58
[2019-12-02 08:34:55,156]-ERROR: test_01__ 搜索search_result_open埋点异常 line45
[2019-12-02 08:34:55,185]-INFO: test_01__ 搜索do_search埋点正常 line57
[2019-12-02 08:37:35,162]-INFO: test_01__ 搜索search_result_open埋点正常 line47
[2019-12-02 08:37:35,184]-INFO: test_01__ 搜索do_search埋点正常 line57
[2019-12-02 08:39:12,580]-INFO: test_01__ 搜索search_result_open埋点正常 line49
[2019-12-02 08:39:12,606]-INFO: test_01__ 搜索do_search埋点正常 line59
[2019-12-02 08:40:47,034]-INFO: test_01__ 搜索search_result_open埋点正常 line47
[2019-12-02 08:40:47,063]-ERROR: test_01__ 搜索do_search埋点异常 line55
[2019-12-02 08:42:37,141]-ERROR: test_01__ 搜索search_result_open埋点异常 line45
[2019-12-02 08:42:37,168]-INFO: test_01__ 搜索do_search埋点正常 line57
[2019-12-02 08:44:23,578]-ERROR: testbuild__ 搜索search_result_open埋点异常 line46
[2019-12-02 08:44:23,604]-INFO: testbuild__ 搜索do_search埋点正常 line58
[2019-12-02 08:47:15,203]-ERROR: testbuild__ 搜索search_result_open埋点异常 line46
[2019-12-02 08:47:15,230]-INFO: testbuild__ 搜索do_search埋点正常 line58
[2019-12-02 08:50:11,930]-ERROR: test_01__ 搜索search_result_open埋点异常 line45
[2019-12-02 08:50:11,958]-INFO: test_01__ 搜索do_search埋点正常 line57
[2019-12-02 08:54:02,869]-INFO: test_01__ home_open埋点正常 line41
[2019-12-02 08:54:03,225]-INFO: test_01__ device_opened埋点正常 line59
[2019-12-02 08:54:03,426]-INFO: test_01__ is_open_push埋点正常 line93
[2019-12-02 08:54:03,578]-INFO: test_01__ urban_geographical_location埋点正常 line108
